# FieldName,FieldRA,FieldDec,Telscope,Filter,ExpTime,Priority,Status
S025AAE00001,20:56:14.03,+09:55:02.30,SWOPE,R,300.0,0.004366636861424821,False
S025AAE00002,20:54:59.97,+08:25:46.95,SWOPE,R,300.0,0.0042837482685600965,False
S025AAE00003,20:56:44.70,+08:55:32.07,SWOPE,R,300.0,0.004259417577208812,False
S025AAE00004,20:58:29.72,+09:25:17.18,SWOPE,R,300.0,0.004189208757480098,False
S025AAE00005,20:57:15.19,+07:56:01.84,SWOPE,R,300.0,0.004172365451180121,False
S025AAE00006,20:54:44.53,+08:55:32.07,SWOPE,R,300.0,0.00416721822002967,False
S025AAE00007,20:56:29.39,+09:25:17.18,SWOPE,R,300.0,0.004074130273811512,False
S025AAE00008,20:54:29.05,+09:25:17.18,SWOPE,R,300.0,0.003984919438150012,False
S025AAE00009,20:53:15.52,+07:56:01.84,SWOPE,R,300.0,0.003962440896600539,False
S025AAE00010,20:55:30.70,+07:26:16.73,SWOPE,R,300.0,0.003933486135786573,False
S025AAE00011,21:09:55.70,+13:53:03.21,SWOPE,R,300.0,0.0038938459181947346,False
S025AAE00012,20:56:59.97,+08:25:46.95,SWOPE,R,300.0,0.003808789181308934,False
S025AAE00013,20:55:15.36,+07:56:01.84,SWOPE,R,300.0,0.003796304560897688,False
S025AAE00014,20:58:14.53,+09:55:02.30,SWOPE,R,300.0,0.0037304539940497656,False
S025AAE00015,21:00:15.03,+09:55:02.30,SWOPE,R,300.0,0.00372038830237083,False
S025AAE00016,21:09:26.78,+14:22:48.32,SWOPE,R,300.0,0.0037145749673660354,False
S025AAE00017,21:08:08.11,+13:23:18.09,SWOPE,R,300.0,0.0036365120343834394,False
S025AAE00018,21:11:00.59,+14:52:33.44,SWOPE,R,300.0,0.0036248461884709118,False
S025AAE00019,20:53:31.03,+07:26:16.73,SWOPE,R,300.0,0.0035838966782123114,False
S025AAE00020,20:53:46.49,+06:56:31.61,SWOPE,R,300.0,0.0035704258471731917,False
S025AAE00021,20:57:59.29,+10:24:47.41,SWOPE,R,300.0,0.0034763882347543184,False
S025AAE00022,20:52:59.97,+08:25:46.95,SWOPE,R,300.0,0.003447388171135476,False
