# FieldName,FieldRA,FieldDec,Telscope,Filter,ExpTime,Priority,Status
S008ABE0001,05:51:37.89,-32:09:32.96,SWOPE,r,300.0,0.013147407607170541,False
S008ABE0002,05:51:39.40,-31:39:44.24,SWOPE,r,300.0,0.011641186508532747,False
S008ABE0003,05:51:31.46,-34:08:47.84,SWOPE,r,300.0,0.010157576235592054,False
S008ABE0004,05:49:15.26,-32:39:21.68,SWOPE,r,300.0,0.008804131737880961,False
S008ABE0005,05:56:18.52,-34:38:36.56,SWOPE,r,300.0,0.00877137276159264,False
S008ABE0006,06:01:00.69,-32:39:21.68,SWOPE,r,300.0,0.00840516750813215,False
S008ABE0007,05:53:58.20,-32:09:32.96,SWOPE,r,300.0,0.008078456688955116,False
S008ABE0008,05:51:40.88,-31:09:55.52,SWOPE,r,300.0,0.007725582469703235,False
S008ABE0009,06:01:02.28,-33:09:10.40,SWOPE,r,300.0,0.007656664146953939,False
S008ABE0010,05:49:12.88,-33:09:10.40,SWOPE,r,300.0,0.00706292348862286,False
S008ABE0011,05:56:18.52,-33:09:10.40,SWOPE,r,300.0,0.006930797457341595,False
S008ABE0012,05:58:42.90,-34:38:36.56,SWOPE,r,300.0,0.006884784585823803,False
S008ABE0013,06:10:34.68,-33:38:59.12,SWOPE,r,300.0,0.006821357469747545,False
S008ABE0014,05:51:29.75,-34:38:36.56,SWOPE,r,300.0,0.006714738048273175,False
S008ABE0015,05:58:42.04,-34:08:47.84,SWOPE,r,300.0,0.0062395196364912016,False
S008ABE0016,05:53:54.13,-34:38:36.56,SWOPE,r,300.0,0.006146999863656795,False
S008ABE0017,06:03:24.16,-33:09:10.40,SWOPE,r,300.0,0.006009836086809116,False
S008ABE0018,05:58:43.77,-35:08:25.28,SWOPE,r,300.0,0.0059371293563232445,False
S008ABE0019,05:56:18.52,-33:38:59.12,SWOPE,r,300.0,0.005880481521917447,False
S008ABE0020,05:51:33.13,-33:38:59.12,SWOPE,r,300.0,0.005647116172978341,False
S008ABE0021,06:03:29.10,-34:08:47.84,SWOPE,r,300.0,0.005433712386091635,False
S008ABE0022,05:56:18.52,-35:08:25.28,SWOPE,r,300.0,0.0053802186115787035,False
S008ABE0023,05:53:56.64,-33:09:10.40,SWOPE,r,300.0,0.005326667470233845,False
S008ABE0024,06:03:21.77,-32:39:21.68,SWOPE,r,300.0,0.005296395871513865,False
S008ABE0025,05:53:57.43,-32:39:21.68,SWOPE,r,300.0,0.00524874107852822,False
S008ABE0026,05:49:24.22,-30:40:06.80,SWOPE,r,300.0,0.005192840026888843,False
S008ABE0027,05:53:55.82,-33:38:59.12,SWOPE,r,300.0,0.00518260599921681,False
S008ABE0028,05:58:41.21,-33:38:59.12,SWOPE,r,300.0,0.0050766116624082714,False
S008ABE0029,05:58:38.07,-31:39:44.24,SWOPE,r,300.0,0.0049883105516753505,False
S008ABE0030,05:56:18.52,-32:09:32.96,SWOPE,r,300.0,0.0048637557849337786,False
S008ABE0031,05:53:58.96,-31:39:44.24,SWOPE,r,300.0,0.0047736622644005185,False
S008ABE0032,06:01:05.57,-34:08:47.84,SWOPE,r,300.0,0.00468637513108605,False
S008ABE0033,05:49:17.58,-32:09:32.96,SWOPE,r,300.0,0.004651690168867642,False
S008ABE0034,05:56:18.52,-32:39:21.68,SWOPE,r,300.0,0.004545211184116545,False
S008ABE0035,06:01:03.90,-33:38:59.12,SWOPE,r,300.0,0.004476084827456322,False
S008ABE0036,05:58:40.40,-33:09:10.40,SWOPE,r,300.0,0.004465093333920293,False
S008ABE0037,05:58:38.83,-32:09:32.96,SWOPE,r,300.0,0.004392096849388501,False
S008ABE0038,05:53:53.26,-35:08:25.28,SWOPE,r,300.0,0.004342321158455808,False
S008ABE0039,05:51:34.76,-33:09:10.40,SWOPE,r,300.0,0.004273306772306482,False
S008ABE0040,06:03:19.45,-32:09:32.96,SWOPE,r,300.0,0.004257215060682152,False
S008ABE0041,05:51:36.34,-32:39:21.68,SWOPE,r,300.0,0.0042142886348852755,False
S008ABE0042,06:08:11.98,-33:38:59.12,SWOPE,r,300.0,0.004209767654756805,False
S008ABE0043,05:46:54.17,-32:39:21.68,SWOPE,r,300.0,0.004201227351514995,False
S008ABE0044,05:53:54.99,-34:08:47.84,SWOPE,r,300.0,0.004015779201411196,False
S008ABE0045,05:58:39.60,-32:39:21.68,SWOPE,r,300.0,0.003956025268084633,False
S008ABE0046,06:01:09.03,-35:08:25.28,SWOPE,r,300.0,0.003908671924902079,False
S008ABE0047,05:56:18.52,-35:38:14.00,SWOPE,r,300.0,0.003882920356766332,False
S008ABE0048,06:05:49.29,-33:38:59.12,SWOPE,r,300.0,0.0038762261467506025,False
S008ABE0049,06:03:34.29,-35:08:25.28,SWOPE,r,300.0,0.003868754072241761,False
S008ABE0050,05:49:22.06,-31:09:55.52,SWOPE,r,300.0,0.003825697492311658,False
S008ABE0051,06:01:07.28,-34:38:36.56,SWOPE,r,300.0,0.0037368791985367723,False
S008ABE0052,05:58:45.59,-36:08:02.72,SWOPE,r,300.0,0.0037325051735262243,False
S008ABE0053,06:03:36.98,-35:38:14.00,SWOPE,r,300.0,0.0037269923213553015,False
S008ABE0054,05:56:18.52,-31:39:44.24,SWOPE,r,300.0,0.003724447075859526,False
S008ABE0055,05:49:19.85,-31:39:44.24,SWOPE,r,300.0,0.0036138371855122162,False
S008ABE0056,06:03:26.60,-33:38:59.12,SWOPE,r,300.0,0.0036138094166757117,False
S008ABE0057,06:00:59.14,-32:09:32.96,SWOPE,r,300.0,0.0035274427117755087,False
S008ABE0058,05:56:18.52,-34:08:47.84,SWOPE,r,300.0,0.00351177955532583,False
S008ABE0059,05:49:10.43,-33:38:59.12,SWOPE,r,300.0,0.003448294028037339,False
S008ABE0060,06:05:42.86,-32:39:21.68,SWOPE,r,300.0,0.003401149889781588,False
S008ABE0061,06:00:57.63,-31:39:44.24,SWOPE,r,300.0,0.0033976775758967495,False
S008ABE0062,06:05:46.04,-33:09:10.40,SWOPE,r,300.0,0.003215155456793724,False
S008ABE0063,06:10:25.03,-32:39:21.68,SWOPE,r,300.0,0.003070932045507779,False
S008ABE0064,05:58:44.67,-35:38:14.00,SWOPE,r,300.0,0.003024860578034676,False
S008ABE0065,06:03:31.66,-34:38:36.56,SWOPE,r,300.0,0.00290508568428063,False
S008ABE0066,05:47:00.29,-31:39:44.24,SWOPE,r,300.0,0.0029006661313464655,False
